     sec               kgf         kgf/mm2              mm               %          Spare1          Spare2
==========================================================================================================
   0.625	     0.369	     0.052	     1.805	     7.219	   0.00000	   0.00000
   0.630	     0.371	     0.052	     1.830	     7.320	   0.00000	   0.00000
   0.635	     0.373	     0.053	     1.855	     7.420	   0.00000	   0.00000
   0.640	     0.375	     0.053	     1.868	     7.470	   0.00000	   0.00000
   0.645	     0.377	     0.053	     1.880	     7.520	   0.00000	   0.00000
   0.650	     0.381	     0.054	     1.905	     7.621	   0.00000	   0.00000
   0.655	     0.383	     0.054	     1.905	     7.621	   0.00000	   0.00000
   0.670	     0.391	     0.055	     1.955	     7.821	   0.00000	   0.00000
   0.690	     0.399	     0.056	     2.030	     8.122	   0.00000	   0.00000
   0.695	     0.400	     0.057	     2.056	     8.222	   0.00000	   0.00000
   0.700	     0.404	     0.057	     2.118	     8.473	   0.00000	   0.00000
   0.705	     0.406	     0.057	     2.131	     8.523	   0.00000	   0.00000
   0.710	     0.408	     0.058	     2.143	     8.573	   0.00000	   0.00000
   0.715	     0.411	     0.058	     2.181	     8.724	   0.00000	   0.00000
   0.730	     0.419	     0.059	     2.206	     8.824	   0.00000	   0.00000
   0.750	     0.428	     0.060	     2.281	     9.125	   0.00000	   0.00000
   0.755	     0.430	     0.061	     2.356	     9.425	   0.00000	   0.00000
   0.760	     0.431	     0.061	     2.369	     9.476	   0.00000	   0.00000
   0.765	     0.433	     0.061	     2.381	     9.526	   0.00000	   0.00000
   0.770	     0.435	     0.061	     2.394	     9.576	   0.00000	   0.00000
   0.775	     0.438	     0.062	     2.432	     9.726	   0.00000	   0.00000
   0.780	     0.440	     0.062	     2.457	     9.827	   0.00000	   0.00000
   0.795	     0.447	     0.063	     2.482	     9.927	   0.00000	   0.00000
   0.815	     0.454	     0.064	     2.557	    10.228	   0.00000	   0.00000
   0.820	     0.457	     0.065	     2.574	    10.294	   0.00000	   0.00000
   0.825	     0.459	     0.065	     2.582	    10.328	   0.00000	   0.00000
   0.830	     0.460	     0.065	     2.582	    10.328	   0.00000	   0.00000
   0.835	     0.464	     0.065	     2.620	    10.478	   0.00000	   0.00000
   0.840	     0.465	     0.066	     2.632	    10.528	   0.00000	   0.00000
   0.850	     0.470	     0.066	     2.657	    10.629	   0.00000	   0.00000
   0.870	     0.478	     0.068	     2.757	    11.030	   0.00000	   0.00000
   0.880	     0.481	     0.068	     2.783	    11.130	   0.00000	   0.00000
